segment,factors,factor1,factor2,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_07_芝_新馬,kyori_kubun+kyusha_shisu,kyori_kubun,kyusha_shisu,3,379,96.47,11.9,83.01,True
KEIBAJO_SURFACE_07_芝_新馬,omo_tekisei_code+kyusha_shisu,omo_tekisei_code,kyusha_shisu,3,415,93.16,11.86,79.73,False
KEIBAJO_SURFACE_07_芝_新馬,manken_shirushi+tenkai_kigo_code,manken_shirushi,tenkai_kigo_code,14,2417,79.89,8.11,75.65,False
KEIBAJO_SURFACE_07_芝_新馬,manken_shirushi+shiba_tekisei_code,manken_shirushi,shiba_tekisei_code,8,3162,79.31,5.67,75.38,False
KEIBAJO_SURFACE_07_芝_新馬,manken_shirushi+class_code,manken_shirushi,class_code,8,2630,77.48,3.66,74.95,False
KEIBAJO_SURFACE_07_芝_新馬,manken_shirushi+kyakushitsu,manken_shirushi,kyakushitsu,21,2966,78.76,9.14,74.86,False
KEIBAJO_SURFACE_07_芝_新馬,manken_shirushi+umakigo_code,manken_shirushi,umakigo_code,8,3284,78.87,5.99,74.72,False
KEIBAJO_SURFACE_07_芝_新馬,manken_shirushi+pace_yoso,manken_shirushi,pace_yoso,14,3159,77.99,7.08,74.28,False
KEIBAJO_SURFACE_07_芝_新馬,manken_shirushi+omo_tekisei_code,manken_shirushi,omo_tekisei_code,16,3186,78.34,8.67,74.09,False
KEIBAJO_SURFACE_07_芝_新馬,uma_start_shisu+gekiso_juni,uma_start_shisu,gekiso_juni,10,1473,78.6,7.66,73.85,False
KEIBAJO_SURFACE_07_芝_新馬,manken_shirushi+uma_start_shisu,manken_shirushi,uma_start_shisu,8,1125,79.94,9.01,73.7,False
KEIBAJO_SURFACE_07_芝_新馬,manken_shirushi+kyori_tekisei,manken_shirushi,kyori_tekisei,16,2860,78.65,10.14,73.68,False
KEIBAJO_SURFACE_07_芝_新馬,kyakushitsu+hizume_code,kyakushitsu,hizume_code,18,4466,77.65,9.06,73.46,False
KEIBAJO_SURFACE_07_芝_新馬,pace_yoso+kyori_tekisei_2,pace_yoso,kyori_tekisei_2,4,953,76.2,2.94,73.32,False
KEIBAJO_SURFACE_07_芝_新馬,uma_deokure_ritsu+hizume_code,uma_deokure_ritsu,hizume_code,6,1451,78.52,7.08,72.86,False
KEIBAJO_SURFACE_07_芝_新馬,pace_yoso+kyori_kubun,pace_yoso,kyori_kubun,9,5629,73.83,1.61,72.77,False
KEIBAJO_SURFACE_07_芝_新馬,kyori_kubun+class_code,kyori_kubun,class_code,8,4998,76.37,5.2,72.76,False
