segment,factors,factor1,factor2,factor3,n_bins,n_bets,mean_roi,std_roi,clb,pass
COURSE_27_特殊B_芝,pace_yoso+kyakushitsu+kyori_tekisei,pace_yoso,kyakushitsu,kyori_tekisei,4,687,79.49,3.34,76.22,False
COURSE_27_特殊B_芝,joken_class_code+kyakushitsu+kyori_tekisei,joken_class_code,kyakushitsu,kyori_tekisei,3,571,79.68,3.19,76.07,False
COURSE_27_特殊B_芝,pace_yoso+joken_class_code+kyori_tekisei,pace_yoso,joken_class_code,kyori_tekisei,4,888,78.78,4.56,74.31,False
COURSE_27_特殊B_芝,kyakushitsu+class_code+ls_shisu_juni,kyakushitsu,class_code,ls_shisu_juni,3,336,75.31,3.44,71.42,False
COURSE_27_特殊B_芝,pace_yoso+joken_class_code+kyakushitsu,pace_yoso,joken_class_code,kyakushitsu,5,773,76.03,6.98,69.91,False
COURSE_27_特殊B_芝,joken_class_code+class_code+kyori_tekisei,joken_class_code,class_code,kyori_tekisei,3,598,71.5,4.24,66.7,False
COURSE_27_特殊B_芝,pace_yoso+joken_class_code+class_code,pace_yoso,joken_class_code,class_code,4,888,70.52,5.0,65.63,False
COURSE_27_特殊B_芝,pace_yoso+kyakushitsu+ls_shisu_juni,pace_yoso,kyakushitsu,ls_shisu_juni,3,539,71.17,5.44,65.01,False
COURSE_27_特殊B_芝,kyakushitsu+tenkai_kigo_code+kyori_tekisei,kyakushitsu,tenkai_kigo_code,kyori_tekisei,3,556,71.52,6.81,63.82,False
COURSE_27_特殊B_芝,joken_class_code+kyakushitsu+tenkai_kigo_code,joken_class_code,kyakushitsu,tenkai_kigo_code,5,818,68.79,5.74,63.76,False
COURSE_27_特殊B_芝,pace_yoso+kyakushitsu+tenkai_kigo_code,pace_yoso,kyakushitsu,tenkai_kigo_code,4,695,71.82,8.74,63.26,False
COURSE_27_特殊B_芝,joken_class_code+tenkai_kigo_code+kyori_tekisei,joken_class_code,tenkai_kigo_code,kyori_tekisei,5,783,72.58,10.71,63.2,False
COURSE_27_特殊B_芝,joken_class_code+kyakushitsu+class_code,joken_class_code,kyakushitsu,class_code,5,757,67.59,5.06,63.15,False
COURSE_27_特殊B_芝,joken_class_code+ls_shisu_juni+kyori_tekisei,joken_class_code,ls_shisu_juni,kyori_tekisei,3,655,74.0,9.8,62.9,False
COURSE_27_特殊B_芝,pace_yoso+joken_class_code+tenkai_kigo_code,pace_yoso,joken_class_code,tenkai_kigo_code,5,837,69.09,7.23,62.75,False
COURSE_27_特殊B_芝,pace_yoso+ls_shisu_juni+kyori_tekisei,pace_yoso,ls_shisu_juni,kyori_tekisei,5,831,71.11,10.61,61.81,False
COURSE_27_特殊B_芝,pace_yoso+joken_class_code+ls_shisu_juni,pace_yoso,joken_class_code,ls_shisu_juni,4,904,67.79,6.73,61.19,False
COURSE_27_特殊B_芝,pace_yoso+tenkai_kigo_code+ls_shisu_juni,pace_yoso,tenkai_kigo_code,ls_shisu_juni,3,574,64.69,3.88,60.3,False
COURSE_27_特殊B_芝,joken_class_code+kyakushitsu+ls_shisu_juni,joken_class_code,kyakushitsu,ls_shisu_juni,5,744,69.52,10.8,60.05,False
COURSE_27_特殊B_芝,kyakushitsu+tenkai_kigo_code+ls_shisu_juni,kyakushitsu,tenkai_kigo_code,ls_shisu_juni,4,726,67.34,7.45,60.04,False
COURSE_27_特殊B_芝,pace_yoso+tenkai_kigo_code+class_code,pace_yoso,tenkai_kigo_code,class_code,3,443,66.91,7.94,57.93,False
COURSE_27_特殊B_芝,kyakushitsu+ls_shisu_juni+kyori_tekisei,kyakushitsu,ls_shisu_juni,kyori_tekisei,3,471,72.97,13.31,57.91,False
COURSE_27_特殊B_芝,joken_class_code+tenkai_kigo_code+ls_shisu_juni,joken_class_code,tenkai_kigo_code,ls_shisu_juni,3,628,63.48,5.56,57.18,False
COURSE_27_特殊B_芝,pace_yoso+class_code+ls_shisu_juni,pace_yoso,class_code,ls_shisu_juni,3,470,66.14,8.61,56.4,False
COURSE_27_特殊B_芝,tenkai_kigo_code+ls_shisu_juni+kyori_tekisei,tenkai_kigo_code,ls_shisu_juni,kyori_tekisei,3,535,61.73,7.56,53.17,False
