factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
pace_yoso,ペース予想,code,3,1952,74.98,0.05,74.93,False
joken_class_code,条件クラス,code,3,1830,74.95,1.36,73.41,False
kyakushitsu,脚質,code,5,1952,75.25,2.54,73.02,False
tenkai_kigo_code,展開記号,code,5,1952,76.82,6.12,71.45,False
uma_start_shisu_decile,馬スタート指数10分位,code,8,1556,75.3,7.01,70.44,False
manken_shirushi,万券印,code,8,1314,76.39,9.74,69.65,False
ichi_shisu_juni,位置指数順位,numeric,10,1672,73.89,7.14,69.46,False
agari_shisu_juni,上がり指数順位,numeric,10,1651,74.99,9.0,69.41,False
manken_shisu_decile,万券指数10分位,code,9,1891,75.66,9.64,69.36,False
bataiju_zogen,馬体重増減,numeric,7,1168,74.98,8.42,68.75,False
hizume_code,蹄コード,code,6,1275,73.7,6.93,68.16,False
ten_shisu_juni,テン指数順位,numeric,10,1636,76.49,13.7,67.99,False
uma_deokure_bin,馬出遅率ビン,code,3,1373,77.25,8.35,67.8,False
class_code,クラスコード,code,4,1239,77.09,9.57,67.72,False
pace_shisu_juni,ペース指数順位,numeric,9,1568,74.27,10.91,67.13,False
gekiso_juni,激走順位,numeric,10,1657,74.49,12.28,66.88,False
ls_shisu_juni,LS指数順位,numeric,5,1833,76.29,11.95,65.82,False
rotation_bin,ローテーションビン,code,5,1382,72.74,8.77,65.05,False
joho_shisu_decile,情報指数10分位,code,6,1952,74.93,12.59,64.86,False
kyori_tekisei,距離適性,code,4,1922,74.01,10.24,63.97,False
idm_decile,IDM指数10分位,code,8,1873,73.06,14.09,63.3,False
kyusha_shisu_decile,厩舎指数10分位,code,9,1880,69.66,13.84,60.61,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,10,1739,69.3,15.11,59.93,False
sogo_shisu_decile,総合指数10分位,code,8,1842,71.17,16.52,59.72,False
ninki_shisu_decile,人気指数10分位,code,8,1861,70.52,16.01,59.43,False
kishu_kitai_rentai_decile,騎手期待連対率10分位,code,7,1833,69.52,14.27,58.95,False
kishu_kitai_tansho_decile,騎手期待単勝率10分位,code,7,1824,69.28,14.44,58.58,False
chokyo_shisu_decile,調教指数10分位,code,9,1910,66.82,14.8,57.16,False
kishu_shisu_decile,騎手指数10分位,code,8,1890,67.35,15.64,56.51,False
