factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
pace_yoso,ペース予想,code,3,9153,74.05,0.2,73.83,False
joken_class_code,条件クラス,code,5,9153,73.86,1.04,72.94,False
class_code,クラスコード,code,13,7313,76.35,6.71,72.7,False
kyori_tekisei,距離適性,code,4,9072,73.62,1.43,72.22,False
nyukyu_nannichimae,入厩何日前,numeric,19,4082,76.19,8.86,72.21,False
uma_deokure_ritsu,馬出遅率,numeric,17,6080,76.76,9.86,72.08,False
manken_shisu,万券指数,numeric,38,7634,74.82,9.07,71.94,False
joho_shisu,情報指数,numeric,36,8452,75.0,10.74,71.49,False
hizume_code,蹄コード,code,9,7308,76.63,8.42,71.13,False
ls_shisu_juni,LS指数順位,numeric,9,9120,74.24,5.32,70.76,False
kakutoku_shokin_ruikei,獲得賞金累計,numeric,5,2601,72.96,2.58,70.7,False
manken_shirushi,万券印,code,8,5859,74.28,5.18,70.69,False
joshodo_code,上昇度,code,3,8951,76.59,5.86,69.96,False
kishu_shisu,騎手指数,numeric,24,8477,74.03,10.51,69.82,False
uma_start_shisu,馬スタート指数,numeric,14,7079,74.07,8.9,69.41,False
idm,IDM指数,numeric,27,4063,73.6,11.86,69.13,False
agari_shisu_juni,上がり指数順位,numeric,17,9064,72.45,7.55,68.86,False
kyakushitsu,脚質,code,5,9149,73.01,4.99,68.63,False
gekiso_juni,激走順位,numeric,17,9094,72.14,7.77,68.45,False
tenkai_kigo_code,展開記号,code,5,9153,73.17,5.48,68.37,False
rotation,ローテーション,numeric,16,6980,73.27,10.42,68.16,False
shiba_tekisei_code,芝適性,code,3,7493,72.72,4.2,67.97,False
pace_shisu_juni,ペース指数順位,numeric,17,9075,72.27,9.07,67.96,False
ichi_shisu_juni,位置指数順位,numeric,17,9071,70.77,8.8,66.59,False
ichi_shisu,位置指数,numeric,8,2570,74.89,12.81,66.02,False
ten_shisu_juni,テン指数順位,numeric,18,9153,70.0,9.11,65.79,False
kishu_kitai_rentai_ritsu,騎手期待連対率,numeric,17,2931,69.23,9.34,64.79,False
umakigo_code,馬記号,code,3,9148,69.98,4.62,64.74,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,15,9015,71.32,13.18,64.65,False
omo_tekisei_code,重適性,code,4,7728,70.37,6.07,64.42,False
kishu_kitai_tansho_ritsu,騎手期待単勝率,numeric,17,3613,70.23,15.22,62.99,False
ten_shisu,テン指数,numeric,8,1711,70.27,13.48,60.93,False
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,numeric,14,1911,66.72,17.52,57.54,False
agari_shisu,上がり指数,numeric,5,1425,71.9,17.54,56.53,False
pace_shisu,ペース指数,numeric,6,1632,70.68,18.18,56.14,False
kishu_minarai_code,騎手見習,code,3,679,63.2,9.54,52.41,False
chokyo_shisu,調教指数,numeric,3,545,54.95,6.44,47.66,False
kyusha_hyoka_code,厩舎評価,code,3,9124,62.27,27.72,30.9,False
