factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
uma_deokure_ritsu,馬出遅率,numeric,21,7124,79.72,8.73,75.99,False
pace_yoso,ペース予想,code,3,8815,74.83,0.04,74.79,False
joken_class_code,条件クラス,code,5,8815,74.57,1.54,73.22,False
manken_shirushi,万券印,code,8,5816,76.88,5.55,73.03,False
omo_tekisei_code,重適性,code,3,8559,75.09,2.01,72.82,False
uma_start_shisu,馬スタート指数,numeric,16,8110,75.05,5.36,72.42,False
ichi_shisu,位置指数,numeric,12,1452,78.05,10.25,72.25,False
ichi_shisu_juni,位置指数順位,numeric,14,8815,73.9,4.39,71.61,False
ten_shisu_juni,テン指数順位,numeric,14,8815,74.36,5.86,71.29,False
kyakushitsu,脚質,code,5,8814,74.35,3.55,71.24,False
joho_shisu,情報指数,numeric,33,7827,75.42,12.48,71.16,False
manken_shisu,万券指数,numeric,34,7591,73.98,8.64,71.08,False
hizume_code,蹄コード,code,9,8001,73.12,4.18,70.39,False
pace_shisu_juni,ペース指数順位,numeric,14,8815,73.38,6.32,70.07,False
gekiso_juni,激走順位,numeric,14,8815,73.45,6.47,70.07,False
rotation,ローテーション,numeric,14,7935,74.81,9.13,70.03,False
kishu_shisu,騎手指数,numeric,22,8271,75.42,13.39,69.82,False
idm,IDM指数,numeric,30,5596,74.51,14.17,69.44,False
ls_shisu_juni,LS指数順位,numeric,8,8625,74.52,9.45,67.97,False
da_tekisei_code,ダ適性,code,3,7777,73.69,5.08,67.94,False
class_code,クラスコード,code,9,8252,75.37,11.38,67.93,False
joshodo_code,上昇度,code,3,8788,81.92,12.37,67.92,False
nyukyu_nannichimae,入厩何日前,numeric,13,2381,72.67,10.34,67.05,False
umakigo_code,馬記号,code,3,8805,70.47,4.24,65.67,False
agari_shisu_juni,上がり指数順位,numeric,14,8815,71.23,11.83,65.03,False
kishu_minarai_code,騎手見習,code,3,1705,72.39,6.79,64.71,False
kyori_tekisei,距離適性,code,4,8569,71.88,7.55,64.48,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,14,8815,69.95,15.34,61.91,False
kishu_kitai_tansho_ritsu,騎手期待単勝率,numeric,16,4036,67.7,12.05,61.8,False
kishu_kitai_rentai_ritsu,騎手期待連対率,numeric,16,3525,67.23,12.09,61.3,False
tenkai_kigo_code,展開記号,code,5,8815,73.86,15.06,60.66,False
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,numeric,17,3273,66.17,18.04,57.59,False
kyusha_shisu,厩舎指数,numeric,10,1525,59.37,18.64,47.82,False
kyusha_hyoka_code,厩舎評価,code,3,8782,64.25,20.53,41.02,False
chokyo_shisu,調教指数,numeric,4,611,62.34,25.21,37.64,False
